city,country,temp,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind,wind_deg,dt,cloudiness
Forville,FR,-1.03,-0.14,-3.48,62,1034,Clear,08:05 AM,04:53 PM,1.01,,11:08 PM,1
La Portanière,FR,5.06,12.12,0.88,100,1028,Clear,08:01 AM,05:00 PM,2.06,,11:03 PM,0
Wittenheim,FR,1.62,4.53,-0.01,95,1036,Clear,08:13 AM,04:38 PM,2.76,,11:08 PM,5
Wattrelos,FR,5.09,8.16,3.17,90,1039,Fog,08:43 AM,04:42 PM,1.54,,11:08 PM,40
Vitré,FR,9.03,9.49,6.12,91,1036,Clear,08:49 AM,05:11 PM,4.42,,11:08 PM,0
Viry-Châtillon,FR,6.33,8.42,3.93,92,1037,Clear,08:37 AM,04:55 PM,3.09,,11:09 PM,0
Villeneuve-le-Roi,FR,6.37,8.39,3.9,92,1037,Clear,08:37 AM,04:54 PM,3.09,,11:07 PM,0
Arrondissement de Vierzon,FR,4.14,5.33,3.75,88,1035,Clear,08:32 AM,05:02 PM,3.99,,11:09 PM,0
Verrières-le-Buisson,FR,6.17,8.12,3.63,91,1037,Clear,08:38 AM,04:55 PM,3.09,,11:09 PM,0
Vallauris,FR,7.37,11.24,3.89,74,1029,Clear,07:58 AM,04:56 PM,2.57,,11:09 PM,0
Tourcoing,FR,5.26,8.1,3.11,90,1039,Fog,08:43 AM,04:42 PM,1.54,,11:08 PM,40
Taverny,FR,6.3,8.14,3.65,94,1034,Mist,08:39 AM,04:54 PM,2.57,,11:05 PM,0
Soisy-sous-Montmorency,FR,6.45,8.36,3.87,92,1034,Clear,08:39 AM,04:53 PM,1.54,,11:09 PM,0
Sin-le-Noble,FR,4.98,6.31,3.25,88,1039,Clear,08:42 AM,04:44 PM,2.55,,11:09 PM,0
Sèvres,FR,6.14,7.99,3.49,91,1037,Clear,08:38 AM,04:54 PM,3.09,,11:06 PM,0
Salon-de-Provence,FR,3.14,4.91,1.49,81,1028,Clear,08:06 AM,05:03 PM,4.63,,11:09 PM,0
Saint-Ouen-sur-Seine,FR,6.49,8.36,3.86,91,1037,Clear,08:38 AM,04:54 PM,0.45,,11:05 PM,0
Saint-Fons,FR,3.52,4.63,2.26,93,1033,Clouds,08:15 AM,04:57 PM,1.03,,11:09 PM,90
Saint-Avold,FR,4.33,6.82,1.26,99,1038,Clear,08:22 AM,04:35 PM,2.87,,11:09 PM,4
Rezé,FR,7.62,7.99,6.53,84,1034,Clear,08:46 AM,05:16 PM,5.14,,11:05 PM,0
Arrondissement de Pontivy,FR,7.15,8.57,6.73,93,1036,Clear,08:56 AM,05:19 PM,4.93,,11:09 PM,0
Pessac,FR,3.16,3.8,2.91,93,1030,Clear,08:34 AM,05:22 PM,2.57,,11:07 PM,0
Palaiseau,FR,6.11,8.12,3.62,91,1037,Clear,08:38 AM,04:55 PM,0.89,,11:09 PM,0
Ozoir-la-Ferrière,FR,5.69,7.45,3.88,94,1038,Clear,08:36 AM,04:53 PM,0.89,,11:09 PM,0
Oullins,FR,3.67,4.27,3.14,95,1033,Clouds,08:15 AM,04:57 PM,1.03,,11:08 PM,90
Mougins,FR,7.29,11.22,3.87,75,1029,Clear,07:59 AM,04:56 PM,2.57,,11:09 PM,0
Morsang-sur-Orge,FR,6.28,8.38,3.88,92,1037,Clear,08:37 AM,04:55 PM,3.09,,11:09 PM,0
Montélimar,FR,5.05,5.25,4.74,86,1031,Clear,08:11 AM,05:01 PM,5.32,,11:09 PM,0
